"STATION","NAME","DATE","ACMH","ACSH","AWND","DAEV","DAWM","EVAP","FMTM","FRGT","MDEV","MDWM","MNPN","MXPN","PGTM","PRCP","PSUN","SN12","SN32","SN52","SNOW","SNWD","SX12","SX32","SX52","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFI","WDFM","WDMV","WESD","WSF1","WSF2","WSF5","WSFG","WSFI","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-06",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"82","64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-07",,,,,,,,,,,,,,"0.02",,,,,"0.0","0.0",,,,,"80","59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-08",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"85","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-09",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"83","52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-10",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"87","59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-11",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"82","57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-12",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"83","65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-13",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"80","65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-14",,,,,,,,,,,,,,"0.01",,,,,"0.0","0.0",,,,,"75","64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-15",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"76","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-16",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"80","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-17",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"89","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-18",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"86","60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-19",,,,,,,,,,,,,,"0.44",,,,,"0.0","0.0",,,,,"91","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-20",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"82","64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-21",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"83","52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-22",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"83","58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-23",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"85","60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-24",,,,,,,,,,,,,,"0.26",,,,,"0.0","0.0",,,,,"87","64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-25",,,,,,,,,,,,,,"0.20",,,,,"0.0","0.0",,,,,"86","64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-26",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"84","62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-27",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"90","66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-28",,,,,,,,,,,,,,"0.27",,,,,"0.0","0.0",,,,,"92","71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-29",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"93","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-30",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"85","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-05-31",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"88","62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-01",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"89","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-02",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"90","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-03",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"87","74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-04",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"92","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-05",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"94","74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-06",,,,,,,,,,,,,,"0.10",,,,,"0.0","0.0",,,,,"92","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-07",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"93","72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-08",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"91","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-09",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"90","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-10",,,,,,,,,,,,,,"0.07",,,,,"0.0","0.0",,,,,"91","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-11",,,,,,,,,,,,,,"0.15",,,,,"0.0","0.0",,,,,"92","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-12",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"86","62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-13",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"87","62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-14",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"90","64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-15",,,,,,,,,,,,,,"1.72",,,,,"0.0","0.0",,,,,"95","74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-16",,,,,,,,,,,,,,"2.48",,,,,"0.0","0.0",,,,,"90","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-17",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"86","67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-18",,,,,,,,,,,,,,"0.09",,,,,"0.0","0.0",,,,,"84","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-19",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"85","73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-20",,,,,,,,,,,,,,"0.80",,,,,"0.0","0.0",,,,,"85","73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-21",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"93","74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00013880","CHARLESTON INTL. AIRPORT, SC US","1937-06-22",,,,,,,,,,,,,,"0.00",,,,,"0.0","0.0",,,,,"93","71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
